favourites_count,friendList,friendsCount,hashtags,imageurl,lang,retweetCount,retweeted,tweetCreatedAt,tweetId,tweetText,userCreatedAt,userDescription,userFollowersCount,userID,userLocation,userName
1138,None,244,,http://pbs.twimg.com/profile_images/1036006248616013824/LEzzrJ4v_normal.jpg,en,46288,False,2018-10-13 00:03:19,1050899746993438721,Felt like I had to post this cuz the media has a double standard...one is “passionate” &amp; the other is a “diva” https://t.co/DO6YE0ZOb1,2016-03-14 20:35:53,SIHS,319,709478176418881536,,Jack Whelan
1138,None,244,,http://pbs.twimg.com/profile_images/1036006248616013824/LEzzrJ4v_normal.jpg,en,13,False,2018-10-09 19:14:53,1049739999816630273,Me when I finally got a @ChickfilA within 25 miles of my house https://t.co/mwIxCz0QOX,2016-03-14 20:35:53,SIHS,319,709478176418881536,,Jack Whelan
1138,None,244,,http://pbs.twimg.com/profile_images/1036006248616013824/LEzzrJ4v_normal.jpg,en,1566,False,2018-09-28 07:36:03,1045577864081494021,.@KingJames’ first day with the Lakers https://t.co/dWihxXxsTL,2016-03-14 20:35:53,SIHS,319,709478176418881536,,Jack Whelan
1138,None,244,,http://pbs.twimg.com/profile_images/1036006248616013824/LEzzrJ4v_normal.jpg,en,81178,False,2018-09-19 01:26:18,1042223323646701569,ARE YALL READY https://t.co/qMZVKEKm6r,2016-03-14 20:35:53,SIHS,319,709478176418881536,,Jack Whelan
1138,None,244,,http://pbs.twimg.com/profile_images/1036006248616013824/LEzzrJ4v_normal.jpg,en,61177,False,2018-09-19 00:35:50,1042210623684321281,This man heard someone cussing at Chick-fil-A.... this is what he had to say 😂 https://t.co/CGAhxlaa3r,2016-03-14 20:35:53,SIHS,319,709478176418881536,,Jack Whelan
17820,None,1022,None,http://pbs.twimg.com/profile_images/1030582337417998336/vkxcnSqS_normal.jpg,en,0,False,2018-09-26 00:53:14,1044751715646533633,"I just started watching American Horror Story and I LOVE it! But it honestly confuses the heck out of me.. it’s so addicting but I don’t know what’s going on, whose dead, whose alive, what’s real, half of the time. I have so many questions @AHSFX it’s okay though I still love it!",2014-08-03 01:51:17,Instagram- annnaleslie | WHS '19 Charleston | 💛 5•19•17 Faith🌻,484,2732083649,the beach,Anna🌻
17820,None,1022,None,http://pbs.twimg.com/profile_images/1030582337417998336/vkxcnSqS_normal.jpg,und,0,False,2018-09-24 21:32:08,1044338720340672512,🦋💙🦋💙 https://t.co/ipUWECxEY1,2014-08-03 01:51:17,Instagram- annnaleslie | WHS '19 Charleston | 💛 5•19•17 Faith🌻,484,2732083649,the beach,Anna🌻
17820,None,1022,None,http://pbs.twimg.com/profile_images/1030582337417998336/vkxcnSqS_normal.jpg,en,0,False,2018-09-04 00:11:08,1036768590601613312,"Tinder has taken over my life, oh god, this isn’t healthy, mistake made",2014-08-03 01:51:17,Instagram- annnaleslie | WHS '19 Charleston | 💛 5•19•17 Faith🌻,484,2732083649,the beach,Anna🌻
17820,None,1022,None,http://pbs.twimg.com/profile_images/1030582337417998336/vkxcnSqS_normal.jpg,en,0,False,2018-08-29 18:47:16,1034875146283241472,@jamescharles How you be waiting for your manz once you get off your period😛,2014-08-03 01:51:17,Instagram- annnaleslie | WHS '19 Charleston | 💛 5•19•17 Faith🌻,484,2732083649,the beach,Anna🌻
17820,None,1022,,http://pbs.twimg.com/profile_images/1030582337417998336/vkxcnSqS_normal.jpg,en,15761,False,2018-08-29 18:42:30,1034873946880057344,"RT to be the next video's sister shoutout!!  BEST FRIENDS BUY EACH OTHER'S OUTFITS ft. @EthanDolan @GraysonDolan @emmachamberlain!!! we spent $10,000 on clothes... but who's makeover will be the best? 👀 https://t.co/xIAvS7QC70 https://t.co/WDQHBkjlwE",2014-08-03 01:51:17,Instagram- annnaleslie | WHS '19 Charleston | 💛 5•19•17 Faith🌻,484,2732083649,the beach,Anna🌻
1,None,2,"['BioLab', 'Melformator', 'SKLAD', 'Tobacco', 'Plovdiv2019', 'together', 'ECoC']",http://pbs.twimg.com/profile_images/931439473342136320/XtKSHMd7_normal.jpg,en,5,False,2018-07-05 06:19:24,1014755608359301121,"Modern biotechnology #BioLab the last workshop from the sequences of @ArsElectronica with the support of #Melformator and @austria_in_bg This Saturday, 7th of July, #SKLAD #Tobacco City at 11 АМ Part of the official programme #Plovdiv2019 #together #ECoC https://t.co/BLfeAPEqBl https://t.co/yVnVtLjstl",2016-07-03 03:43:12,All tweets about Tobacco,319,749448380263182336,,Tobacco
1,None,2,"['tabaco', 'tobacco']",http://pbs.twimg.com/profile_images/931439473342136320/XtKSHMd7_normal.jpg,es,11,False,2018-07-05 06:19:16,1014755573953331200,"El nuevo engaño para mantener el consumo de nicotina, lo venden como alternativa más segura, lo cual es mentira, y sirve para iniciar el consumo más fácilmente, hay que hacer más campañas de información de estos nuevos dispositivos @NeumoMadrid @SeparRespira #tabaco #tobacco https://t.co/tiPYPCW76p",2016-07-03 03:43:12,All tweets about Tobacco,319,749448380263182336,,Tobacco
1,None,2,"['Vaping', 'Tobacco', 'eJuice']",http://pbs.twimg.com/profile_images/931439473342136320/XtKSHMd7_normal.jpg,en,1,False,2018-07-05 04:19:16,1014725374700412928,#Vaping #Tobacco #eJuice Flavors – A Great Way to Start!   https://t.co/uZ1d4mO7Mb https://t.co/mT1GaKuoVh,2016-07-03 03:43:12,All tweets about Tobacco,319,749448380263182336,,Tobacco
1,None,2,"['Insurance', 'Marijuana', 'Tobacco', 'LiveCBDHealthy', 'CBD', 'CBDOil', 'Hemp', 'HempOil', 'CannabisCommunity']",http://pbs.twimg.com/profile_images/931439473342136320/XtKSHMd7_normal.jpg,en,1,False,2018-07-05 03:19:21,1014710297284706304,Life #Insurance Companies No Longer Treating #Marijuana Use as High Risk as #Tobacco @CannabisCulture - https://t.co/2CU8khm6nT #LiveCBDHealthy #CBD #CBDOil #Hemp #HempOil #CannabisCommunity https://t.co/Cn0zQpSKmX,2016-07-03 03:43:12,All tweets about Tobacco,319,749448380263182336,,Tobacco
1,None,2,"['tobacco', 'vaping']",http://pbs.twimg.com/profile_images/931439473342136320/XtKSHMd7_normal.jpg,en,18,False,2018-07-05 03:19:16,1014710275474378754,"TOBACCO CONTROL: MORE CARROT, LESS STICK  ➡️ Australia's extortionate #tobacco prices no longer working ➡️ Many addicted smokers can't quit, no matter what the cost ➡️ We need lower-risk alternatives eg #vaping for smokers who are unable to quit https://t.co/JBmH20zfp7",2016-07-03 03:43:12,All tweets about Tobacco,319,749448380263182336,,Tobacco
307,None,396,['AMAs'],http://pbs.twimg.com/profile_images/971239357146386432/_79JVl7f_normal.jpg,en,0,False,2018-10-10 02:46:25,1049853630965276672,"Well, I will say one thing, for those of us NOT on facebook, we should have been given a chance to vote. Just saying, include those on Twitter or Instagram... #AMAs",2012-06-01 03:29:24,Trying to live life one day at a time.,23,596160066,"New York, New York",Rebecca
307,None,396,"['LEVELUP', 'AMAs']",http://pbs.twimg.com/profile_images/971239357146386432/_79JVl7f_normal.jpg,en,0,False,2018-10-10 02:21:11,1049847279602073600,Yasssssssssssssssss @ciara did that GIRLLLLLLLLLLLL!!! #LEVELUP #AMAs https://t.co/xPWe7wBiMx,2012-06-01 03:29:24,Trying to live life one day at a time.,23,596160066,"New York, New York",Rebecca
307,None,396,"['BadBunny', 'AMAs']",http://pbs.twimg.com/profile_images/971239357146386432/_79JVl7f_normal.jpg,en,0,False,2018-10-10 01:14:15,1049830435201658880,Yooooooo THAT @iamcardib #BadBunny @JBALVIN profromance was GOD DAMN FIRE 🔥🔥🔥🔥🔥🔥🔥 YESSSSS!!! #AMAs https://t.co/0CQC7nFdZn,2012-06-01 03:29:24,Trying to live life one day at a time.,23,596160066,"New York, New York",Rebecca
307,None,396,"['JodieWhittaker', 'DoctorWho']",http://pbs.twimg.com/profile_images/971239357146386432/_79JVl7f_normal.jpg,en,0,False,2018-10-07 23:55:02,1049085724715339781,Hands down AWESOME! LOVED every bit of it and cannot wait for the new adventures we will see!!! Thank you @BBCAMERICA #JodieWhittaker #DoctorWho https://t.co/BhyOCAACZa,2012-06-01 03:29:24,Trying to live life one day at a time.,23,596160066,"New York, New York",Rebecca
307,None,396,None,http://pbs.twimg.com/profile_images/971239357146386432/_79JVl7f_normal.jpg,en,0,False,2018-09-27 03:21:43,1045151471363391493,@AHSFX And now I have to go out and function like a regular person in society when I'm all fudged up!!! https://t.co/EAVicFuGIc,2012-06-01 03:29:24,Trying to live life one day at a time.,23,596160066,"New York, New York",Rebecca
413,None,199,,http://pbs.twimg.com/profile_images/1525644608/chipperbutton_normal.jpg,en,1,False,2018-10-13 04:31:34,1050967255607959552,"A 6-year-old, previously healthy boy presented with diffuse brownish–black hyperpigmentation over the hands and feet. What's the diagnosis? https://t.co/sFoT2wtGLe https://t.co/I8n3Wm9u8P",2011-07-07 23:48:10,The CHIPPER’s mission is to improve general pediatrics outcomes through evidence-based practice and provider education at UCSF Benioff Children's Hospital.,327,331304068,"San Francisco, CA",UCSF CHIPPER
413,None,199,"['payitforward', 'UCSFproud']",http://pbs.twimg.com/profile_images/1525644608/chipperbutton_normal.jpg,en,1,False,2018-10-10 22:21:49,1050149427610976256,"Thrilled to work with @UrmimalaSarkar  - an outstanding leader @UCSFMedicine &amp; @ucsfcvp   - Particularly love the #payitforward commitment she makes to staff, students, junior faculty &amp; academic women #UCSFproud https://t.co/PxGJzBkMLV",2011-07-07 23:48:10,The CHIPPER’s mission is to improve general pediatrics outcomes through evidence-based practice and provider education at UCSF Benioff Children's Hospital.,327,331304068,"San Francisco, CA",UCSF CHIPPER
413,None,199,"['ICS', 'asthma', 'Asthmanet', 'asma']",http://pbs.twimg.com/profile_images/1525644608/chipperbutton_normal.jpg,en,0,False,2018-10-10 22:21:01,1050149227278426112,RT @AlexHoganMD re #ICS #asthma studies. @nih_nhlbi #Asthmanet @ianpaulmd @mikewechsler1 @UCSFChildrens @UCSF_ACRC @UCSFpedsPulm @KelleyMeade @Asthma3Ways #asma https://t.co/V8uwtOipMe,2011-07-07 23:48:10,The CHIPPER’s mission is to improve general pediatrics outcomes through evidence-based practice and provider education at UCSF Benioff Children's Hospital.,327,331304068,"San Francisco, CA",UCSF CHIPPER
413,None,199,['PHM'],http://pbs.twimg.com/profile_images/1525644608/chipperbutton_normal.jpg,en,1,False,2018-10-10 22:18:13,1050148523696566272,Here are the #PHM papers we discussed:    @PRISNetwork @SamirShahMD @cabanam @PolicyLabCHOP @JPediatr @AAPJournals @PHMFellowships @MontefioreNYC https://t.co/22RMmLQ76c,2011-07-07 23:48:10,The CHIPPER’s mission is to improve general pediatrics outcomes through evidence-based practice and provider education at UCSF Benioff Children's Hospital.,327,331304068,"San Francisco, CA",UCSF CHIPPER
413,None,199,['spacer'],http://pbs.twimg.com/profile_images/1525644608/chipperbutton_normal.jpg,en,1,False,2018-10-10 22:18:00,1050148470068133889,And don't forget to use a #spacer! https://t.co/gYXUFDdcoj,2011-07-07 23:48:10,The CHIPPER’s mission is to improve general pediatrics outcomes through evidence-based practice and provider education at UCSF Benioff Children's Hospital.,327,331304068,"San Francisco, CA",UCSF CHIPPER
